
央视频道,#genre#

THT music,http://tntmsmotr.mediacdn.ru/cdn/smotr/playlist_hdhigh.m3u8

CCTV-13 新闻, http://111.196.132.243:8686/rtp/239.3.1.124:8128
CCTV-2 财经, http://111.196.132.243:8686/rtp/239.3.1.60:8084
CCTV-1 综合, http://111.196.132.243:8686/rtp/239.3.1.129:8008
CCTV-3 综艺, http://111.196.132.243:8686/rtp/239.3.1.172:8001
CCTV-4 中文国际, http://111.196.132.243:8686/rtp/239.3.1.105:8092
CCTV-5 体育, http://111.196.132.243:8686/rtp/239.3.1.173:8001
CCTV-5+ 体育赛事, http://111.196.132.243:8686/rtp/239.3.1.130:8004
CCTV-6 电影, http://111.196.132.243:8686/rtp/239.3.1.174:8001
CCTV-7 国防军事, http://111.196.132.243:8686/rtp/239.3.1.61:8104
CCTV-8 电视剧, http://111.196.132.243:8686/rtp/239.3.1.175:8001
CCTV-9 纪录, http://111.196.132.243:8686/rtp/239.3.1.62:8112
CCTV-10 科教, http://111.196.132.243:8686/rtp/239.3.1.63:8116
CCTV-11 戏曲, http://111.196.132.243:8686/rtp/239.3.1.152:8120
CCTV-12 社会与法, http://111.196.132.243:8686/rtp/239.3.1.64:8124
CCTV-14 少儿, http://111.196.132.243:8686/rtp/239.3.1.65:8132
CCTV-15 音乐, http://111.196.132.243:8686/rtp/239.3.1.153:8136
CCTV-16 奥林匹克, http://111.196.132.243:8686/rtp/239.3.1.183:8001
CCTV-17 农业农村, http://111.196.132.243:8686/rtp/239.3.1.151:8144

卫视频道,#genre#

凤凰中文,http://122.224.232.226:8888/rtp/233.50.200.191:5140
凤凰资讯,http://122.224.232.226:8888/rtp/233.50.200.192:5140

湖南卫视,http://111.196.132.243:8686/rtp/239.3.1.132:8012
江苏卫视,http://111.196.132.243:8686/rtp/239.3.1.135:8028
浙江卫视,http://111.196.132.243:8686/rtp/239.3.1.137:8036
东方卫视,http://111.196.132.243:8686/rtp/239.3.1.136:8032
北京卫视,http://111.196.132.243:8686/rtp/239.3.1.241:8000
山东卫视,http://111.196.132.243:8686/rtp/239.3.1.209:8052
辽宁卫视,http://111.196.132.243:8686/rtp/239.3.1.210:8056

安徽卫视,http://111.196.132.243:8686/rtp/239.3.1.211:8064
湖北卫视,http://111.196.132.243:8686/rtp/239.3.1.138:8044
东南卫视,http://111.196.132.243:8686/rtp/239.3.1.156:8148
广东卫视,http://111.196.132.243:8686/rtp/239.3.1.142:8048
黑龙江卫视,http://111.196.132.243:8686/rtp/239.3.1.133:8016
深圳卫视,http://111.196.132.243:8686/rtp/239.3.1.134:8020
贵州卫视,http://111.196.132.243:8686/rtp/239.3.1.149:8076
天津卫视,http://111.196.132.243:8686/rtp/239.3.1.141:1234
河北卫视,http://111.196.132.243:8686/rtp/239.3.1.148:8072
重庆卫视,http://111.196.132.243:8686/rtp/239.3.1.122:8160
江西卫视,http://111.196.132.243:8686/rtp/239.3.1.123:8164
吉林卫视,http://111.196.132.243:8686/rtp/239.3.1.240:8172
南方卫视,http://111.196.132.243:8686/rtp/239.3.1.161:8001
广西卫视,http://111.196.132.243:8686/rtp/239.3.1.39:8300
海南卫视,http://111.196.132.243:8686/rtp/239.3.1.45:8304
厦门卫视,http://111.196.132.243:8686/rtp/239.3.1.143:4120
云南卫视,http://111.196.132.243:8686/rtp/239.3.1.26:8108
西藏卫视,http://111.196.132.243:8686/rtp/239.3.1.47:8164
四川卫视,http://111.196.132.243:8686/rtp/239.3.1.29:8288
河南卫视,http://111.196.132.243:8686/rtp/239.3.1.27:8128
陕西卫视,http://111.196.132.243:8686/rtp/239.3.1.41:8140
新疆卫视,http://111.196.132.243:8686/rtp/239.3.1.48:8160
宁夏卫视,http://111.196.132.243:8686/rtp/239.3.1.46:8124
青海卫视,http://111.196.132.243:8686/rtp/239.3.1.44:8184
甘肃卫视,http://111.196.132.243:8686/rtp/239.3.1.49:8188
山西卫视,http://111.196.132.243:8686/rtp/239.3.1.42:8172
内蒙古卫视,http://111.196.132.243:8686/rtp/239.3.1.43:8176
三沙卫视,http://111.196.132.243:8686/rtp/239.3.1.155:4120
兵团卫视,http://111.196.132.243:8686/rtp/239.3.1.144:4120

咪咕体育,#genre#
咪咕直播 1 4K,http://[2409:8087:1a01:df::4001]/PLTV/88888888/224/3221225655/index.m3u8
咪咕直播 2 4K,http://[2409:8087:1a01:df::4005]/PLTV/88888888/224/3221225651/index.m3u8
咪咕直播 1,http://[2409:8087:1a01:df::4023]/PLTV/88888888/224/3221225611/index.m3u8
咪咕直播 2,http://[2409:8087:1a01:df::4005]/PLTV/88888888/224/3221225613/index.m3u8
咪咕直播 3,http://[2409:8087:1a01:df::4014]/PLTV/88888888/224/3221225617/index.m3u8
咪咕直播 4,http://[2409:8087:1a01:df::4017]/PLTV/88888888/224/3221225619/index.m3u8
咪咕直播 5,http://[2409:8087:1a01:df::4058]/PLTV/88888888/224/3221225620/index.m3u8
咪咕直播 6,http://[2409:8087:1a01:df::4015]/PLTV/88888888/224/3221225639/index.m3u8
咪咕直播 7,http://[2409:8087:1a01:df::4015]/PLTV/88888888/224/3221225641/index.m3u8
咪咕直播 8,http://[2409:8087:1a01:df::4011]/PLTV/88888888/224/3221225643/index.m3u8
咪咕直播 9,http://[2409:8087:1a01:df::4002]/PLTV/88888888/224/3221225645/index.m3u8
咪咕直播 10,http://[2409:8087:1a01:df::4016]/PLTV/88888888/224/3221225647/index.m3u8
咪咕直播 11,http://[2409:8087:1a01:df::4022]/PLTV/88888888/224/3221225648/index.m3u8
咪咕直播 12,http://[2409:8087:1a01:df::4003]/PLTV/88888888/224/3221225649/index.m3u8
咪咕直播 13,http://[2409:8087:1a01:df::4003]/PLTV/88888888/224/3221225650/index.m3u8
咪咕直播 14,http://[2409:8087:1a01:df::4014]/PLTV/88888888/224/3221225652/index.m3u8
咪咕直播 15,http://[2409:8087:1a01:df::4013]/PLTV/88888888/224/3221225653/index.m3u8
咪咕直播 16,http://[2409:8087:1a01:df::4017]/PLTV/88888888/224/3221225654/index.m3u8
咪咕直播 17,http://[2409:8087:1a01:df::4019]/PLTV/88888888/224/3221225658/index.m3u8
咪咕直播 18,http://[2409:8087:1a01:df::4012]/PLTV/88888888/224/3221225660/index.m3u8
咪咕直播 19,http://[2409:8087:1a01:df::4023]/PLTV/88888888/224/3221225662/index.m3u8
咪咕直播 20,http://[2409:8087:1a01:df::4062]/PLTV/88888888/224/3221225733/index.m3u8
咪咕直播 21,http://[2409:8087:1a01:df::4048]/PLTV/88888888/224/3221225735/index.m3u8
咪咕直播 22,http://[2409:8087:1a01:df::4025]/PLTV/88888888/224/3221225737/index.m3u8
咪咕直播 23,http://[2409:8087:1a01:df::4074]/PLTV/88888888/224/3221225739/index.m3u8
咪咕直播 24,http://[2409:8087:1a01:df::4070]/PLTV/88888888/224/3221225741/index.m3u8
咪咕直播 25,http://[2409:8087:1a01:df::4050]/PLTV/88888888/224/3221225745/index.m3u8
咪咕直播 26,http://[2409:8087:1a01:df::4050]/PLTV/88888888/224/3221225747/index.m3u8
咪咕直播 27,http://[2409:8087:1a01:df::4039]/PLTV/88888888/224/3221225749/index.m3u8
