央视频道,#genre#

CCTV-13新闻,http://222.128.86.76:8133/rtp/239.3.1.124:8128
CCTV-2财经,http://222.128.86.76:8133/rtp/239.3.1.60:8084
CCTV-1综合,http://222.128.86.76:8133/rtp/239.3.1.129:8008
CCTV-3综艺,http://222.128.86.76:8133/rtp/239.3.1.172:8001
CCTV-4中文国际,http://222.128.86.76:8133/rtp/239.3.1.105:8092
CCTV-5体育,http://222.128.86.76:8133/rtp/239.3.1.173:8001
CCTV5+,http://222.128.86.76:8133/rtp/239.3.1.130:8004
CCTV-6电影,http://222.128.86.76:8133/rtp/239.3.1.174:8001
CCTV-7国防军事,http://222.128.86.76:8133/rtp/239.3.1.61:8104
CCTV-8电视剧,http://222.128.86.76:8133/rtp/239.3.1.175:8001
CCTV-9纪录,http://222.128.86.76:8133/rtp/239.3.1.62:8112
CCTV-10科教,http://222.128.86.76:8133/rtp/239.3.1.63:8116
CCTV-11戏曲,http://222.128.86.76:8133/rtp/239.3.1.152:8120
CCTV-12社会与法,http://222.128.86.76:8133/rtp/239.3.1.64:8124
CCTV-14少儿,http://222.128.86.76:8133/rtp/239.3.1.65:8132
CCTV-15音乐,http://222.128.86.76:8133/rtp/239.3.1.153:8136
CCTV-16奥林匹克频道,http://222.128.86.76:8133/rtp/239.3.1.184:8001
CCTV-17农业农村,http://222.128.86.76:8133/rtp/239.3.1.151:8144

CCTV-13新闻,http://222.128.86.76:8133/rtp/239.3.1.124:8128
CCTV-2财经,http://222.128.86.76:8133/rtp/239.3.1.60:8084
CCTV-1综合,http://222.128.86.76:8133/rtp/239.3.1.129:8008
CCTV-3综艺,http://222.128.86.76:8133/rtp/239.3.1.172:8001
CCTV-4中文国际,http://222.128.86.76:8133/rtp/239.3.1.105:8092
CCTV-5体育,http://222.128.86.76:8133/rtp/239.3.1.173:8001
CCTV5+,http://222.128.86.76:8133/rtp/239.3.1.130:8004
CCTV-6电影,http://222.128.86.76:8133/rtp/239.3.1.174:8001
CCTV-7国防军事,http://222.128.86.76:8133/rtp/239.3.1.61:8104
CCTV-8电视剧,http://222.128.86.76:8133/rtp/239.3.1.175:8001
